block_id,address,round_id,project_hash,votes,cost,datetime
1014463,5ELphZ84HBWRkoTmn31wMHFkbwr3DYR638QgQUsvZak9sSFt,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,1.0,2021-12-15T12:59:12+00:00
1014458,5GvEduyKSpzAs1UhbFKqXJqg8GYtfGmf3H67U9rUY3LbvD1D,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,0,2021-12-15T12:58:42+00:00
1014456,5Gzf7bvtvauzCeYBSvFc4jLmGe8ZtYuko7eRouqeTU6H61pL,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,1.0,2021-12-15T12:58:30+00:00
1014454,5GvEduyKSpzAs1UhbFKqXJqg8GYtfGmf3H67U9rUY3LbvD1D,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,1.0,2021-12-15T12:58:18+00:00
1014441,5Gv5dpbp3v4gmvCDwLjqM1LbWycdW5psRbjCxiemyUxMzKHB,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,1.0,2021-12-15T12:57:00+00:00
1014339,5DXd4W7EpCUpVYFieKGQt4t72bMyKJDFiwny3XmkinfGjsfK,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,1.0,2021-12-15T12:46:48+00:00
1014313,5D2iE49S47YGHXHd1fFVU4EX6zRPgfesmmZ7RzFUnuoGa7GM,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,1.0,2021-12-15T12:44:12+00:00
1014237,5DJoJkfDaz5JBrz7bdcoJSd4u8TnyQe9UGTgWvJRg56Yo5Ra,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,1.0,2021-12-15T12:36:36+00:00
1014070,5H42ouqaWzgQ7kYa5TEvnB4NpXZGaSGetcokH2Poqwo1xHAM,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,1.0,2021-12-15T12:19:54+00:00
1013994,5EepzpUiJ3nGeHK4KkwJ5kjLMz36nnjv9XWJLv8X3wXwXe5w,2,0x5aba954ef4a8d9f1d56706215aba954ef4a8d9f1d5675aba954ef4a8d9f1d567,1,1.0,2021-12-15T12:12:18+00:00
